TXN_ID,Date,Store,Product,Qty,Price
TXN00000,2023-04-24,NYC-02,Cables,8,15.13
TXN00001,2023-08-01,NYC-02,Monitor,3,299.61
TXN00002,2023-04-08,Paris-05,Cables,3,16.24
TXN00003,2023-10-31,Tokyo-04,Laptop,7,1228.36
TXN00004,2023-10-28,Berlin-03,TV,1,1641.47
TXN00005,2023-11-17,Paris-05,Monitor,7,255.14
TXN00006,2023-03-24,NYC-02,Phone,5,714.29
TXN00007,2023-05-17,Paris-05,Phone,2,794.21
TXN00008,2023-04-06,Tokyo-04,Cables,9,13.84
TXN00009,2023-03-23,NYC-02,Monitor,1,334.72
TXN00010,2023-01-25,Paris-05,Monitor,9,324.52
TXN00011,2023-09-02,Paris-05,Monitor,1,327.56
TXN00012,2023-01-18,Paris-05,Phone,9,796.16
TXN00013,2023-07-07,London-01,TV,6,1439.77
TXN00014,2023-05-17,Berlin-03,TV,7,1669.78
TXN00015,2023-06-02,NYC-02,Monitor,2,291.0
TXN00016,2023-11-29,Berlin-03,TV,9,1694.58
TXN00017,2023-09-05,Tokyo-04,TV,7,1666.22
TXN00018,2023-07-23,NYC-02,Laptop,6,1037.43
TXN00019,2023-07-18,Berlin-03,TV,9,1638.7
TXN00020,2023-07-31,NYC-02,Phone,3,697.6
TXN00021,2023-02-02,Tokyo-04,Monitor,2,285.82
TXN00022,2023-04-30,Berlin-03,Laptop,4,1255.74
TXN00023,2023-11-04,London-01,Monitor,3,336.26
TXN00024,2023-07-12,NYC-02,Laptop,1,1033.18
TXN00025,2023-10-11,Paris-05,Phone,3,885.92
TXN00026,2023-09-14,Berlin-03,Cables,1,16.18
TXN00027,2023-11-29,NYC-02,Laptop,2,1372.32
TXN00028,2023-05-31,Berlin-03,Mouse,7,23.04
TXN00029,2023-04-05,Paris-05,Phone,9,745.11
TXN00030,2023-01-11,London-01,Mouse,7,27.79
TXN00031,2023-04-20,Tokyo-04,Phone,1,739.04
TXN00032,2023-12-08,NYC-02,TV,2,1635.19
TXN00033,2023-12-04,Tokyo-04,TV,7,1417.82
TXN00034,2023-02-04,NYC-02,Cables,4,15.68
TXN00035,2023-03-13,Berlin-03,TV,1,1380.14
TXN00036,2023-04-26,Paris-05,Phone,6,729.92
TXN00037,2023-07-07,NYC-02,Keyboard,9,114.83
TXN00038,2023-09-27,NYC-02,Keyboard,8,88.64
TXN00039,2023-04-04,Berlin-03,Phone,5,750.16
TXN00040,2023-01-03,Tokyo-04,Monitor,2,336.88
TXN00041,2023-11-01,Paris-05,Mouse,1,27.89
TXN00042,2023-11-20,NYC-02,Cables,3,16.62
TXN00043,2023-06-16,London-01,TV,3,1506.0
TXN00044,2023-04-01,Berlin-03,Keyboard,3,114.2
TXN00045,2023-05-17,Paris-05,Monitor,8,284.33
TXN00046,2023-09-30,Tokyo-04,Laptop,2,1224.82
TXN00047,2023-08-05,NYC-02,Laptop,9,1152.02
TXN00048,2023-11-24,Tokyo-04,Laptop,2,1357.06
TXN00049,2023-05-26,Berlin-03,Phone,6,877.95
TXN00050,2023-02-26,London-01,Laptop,6,1326.19
TXN00051,2023-10-30,London-01,Monitor,1,291.61
TXN00052,2023-05-15,UNKNOWN,Keyboard,2,87.6
TXN00053,2023-11-04,Paris-05,Keyboard,2,105.75
TXN00054,2023-04-14,Tokyo-04,Monitor,2,280.22
TXN00055,2023-08-14,London-01,Mouse,7,25.53
TXN00056,2023-05-03,Paris-05,Mouse,4,24.2
TXN00057,2023-03-04,Tokyo-04,Laptop,4,1302.24
TXN00058,2023-06-01,NYC-02,Cables,2,16.48
TXN00059,2023-06-03,Berlin-03,Cables,8,17.07
TXN00060,2023-04-05,Paris-05,Mouse,9,24.05
TXN00061,2023-09-19,London-01,Phone,9,776.99
TXN00062,2023-07-07,Tokyo-04,TV,6,1373.17
TXN00063,2023-12-04,Berlin-03,Phone,8,785.01
TXN00064,2023-07-16,NYC-02,Keyboard,6,113.16
TXN00065,2023-08-31,Paris-05,Cables,7,13.61
